start_ts,end_ts,label
1753036421.445430,1753036721.442777,rest
1753036750.531856,1753037050.551367,walk
1753037129.659723,1753037429.669816,run
1753037592.190996,1753037712.208231,fall
1753037900.736168,1753038080.734683,high_motion
1753183152.810111,1753183452.818917,walk 
1753183679.052407,1753184099.068866,walk
1753184159.353193,1753184579.359215,run
1753184713.956369,1753184893.980929,fall
1753186989.481993,1753187289.496136,high_motion
1753188204.119419,1753188624.128422,rest
1753188626.439026,1753189046.469534,rest
1753189048.781245,1753189468.782915,rest
1753189580.444196,1753189880.443781,rest 
1753189885.412017,1753190305.424957,rest
1753199800.009642,1753199980.013334,fall
1753200107.699810,1753200287.707797,fall
